                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.0857,                0.55039,                 1.1702,                0.85157,                0.82543,                 0.8309,                0.40985,                 1.7053,                0.64873,                 1.6787,              0.0029462,              0.0029462,              0.0029462
                     59,                 1.0686,                0.55317,                 1.1487,                0.88051,                0.88784,                0.86687,                0.43399,                 1.6789,                0.62325,                 1.6534,              0.0028225,              0.0028225,              0.0028225
                     60,                 1.0451,                0.53002,                 1.1611,                0.90295,                0.90484,                0.91709,                 0.4449,                 1.6494,                0.62517,                 1.6478,              0.0026987,              0.0026987,              0.0026987
                     61,                  1.002,                0.53955,                 1.1413,                0.90302,                0.89312,                0.89694,                0.44886,                 1.6675,                 0.6482,                 1.6499,               0.002575,               0.002575,               0.002575
                     62,                 1.0129,                0.53288,                 1.1496,                0.89749,                0.90306,                0.90961,                0.44116,                 1.6841,                0.67173,                 1.6545,              0.0024513,              0.0024513,              0.0024513
                     63,                 1.0147,                0.52225,                 1.1619,                0.86546,                0.88563,                0.89203,                0.42734,                 1.6953,                0.63724,                 1.6655,              0.0023275,              0.0023275,              0.0023275
                     64,                 1.0224,                 0.5374,                 1.1565,                0.89092,                0.85779,                 0.8794,                 0.4218,                 1.6427,                0.63395,                 1.6638,              0.0022038,              0.0022038,              0.0022038
                     65,                 1.0289,                 0.5277,                 1.1509,                0.84931,                0.90937,                0.88841,                0.43521,                 1.6642,                0.61547,                 1.6626,                0.00208,                0.00208,                0.00208
                     66,                0.95126,                0.51173,                  1.115,                0.85723,                0.90056,                0.89087,                0.42092,                 1.6784,                0.65102,                 1.6807,              0.0019563,              0.0019563,              0.0019563
                     67,                0.95363,                0.50142,                  1.095,                0.86735,                0.86821,                0.87281,                0.42236,                 1.6926,                0.63415,                 1.7019,              0.0018325,              0.0018325,              0.0018325
                     68,                0.97393,                 0.5165,                 1.1199,                 0.8731,                0.88587,                0.88542,                0.42113,                 1.6894,                0.63707,                 1.6999,              0.0017087,              0.0017087,              0.0017087
